total_steps,train_loss,val_loss
0,0.05962262787817124,0.039166949378947415
1,0.026389963947191925,0.035465740810402414
2,0.022120675244954174,0.035874878825394044
3,0.019782708118485655,0.032165974833663895
4,0.017973167328219748,0.031035678264081733
5,0.017731016415344206,0.03368710832331668
6,0.01657796028756096,0.03350157475506421
7,0.015843563177762275,0.03193447221807825
8,0.015287672433009493,0.03478368152652613
9,0.014696074482388126,0.03607930475360869
10,0.014048584470592306,0.033784744691343585
11,0.013444778701837013,0.034226189714955224
12,0.013470689971055725,0.03373264858523863
13,0.012520494116581753,0.03599114409580855
14,0.012170388370272732,0.036839076222597876
15,0.012569542904523853,0.03956385584156537
16,0.011523245977416278,0.03568528946109864
17,0.011713747430765656,0.03586044750541491
18,0.010445860167128776,0.04096444723219258
19,0.010378948999094794,0.04046507734473738
20,0.00972238597794698,0.04234522223696607
21,0.009522489658250156,0.04073196496094831
22,0.008986860835746287,0.044761972578602253
23,0.009461153695962118,0.0415849633449618
24,0.007970876531664305,0.041038101159343074
25,0.008094774987855312,0.03922601187933293
26,0.008675024370679598,0.041084507528770096
27,0.007258945848781638,0.043562843061270985
28,0.007570002057929774,0.04243673981744161
29,0.007156137692111873,0.043471628382548894
30,0.007062643893972084,0.04663816206183666
31,0.007039261345394669,0.0427473551914745
32,0.006790598016511091,0.03887540819238039
33,0.00667301008427616,0.039209517676764255
34,0.006060596142092463,0.046080538527652
35,0.006683518957419176,0.04229249872150831
36,0.0070592852575637535,0.04324651782845842
37,0.00632165264182105,0.046254081101241434
38,0.005420866846190598,0.04430871779914014
39,0.006250646906071147,0.051369122278904826
40,0.005974920788252849,0.047977316490935416
41,0.0051832290085361615,0.05197388795292654
42,0.005260583219637057,0.042681258523688564
43,0.00503762980433694,0.05034205717719019
44,0.0049289221433409585,0.04598406264796557
45,0.004971157651377876,0.049258698397104374
46,0.0048045935963202425,0.04870465017743162
47,0.0050716208448092605,0.045757940211897774
48,0.004563603533116799,0.051014732819925426
49,0.005680484233652716,0.04727795030956975
50,0.004352706735800327,0.05097087376810977
51,0.004652661488190695,0.05029414831590133
52,0.004340516836215145,0.049235187770550096
53,0.00440124794422554,0.04939846175010175
54,0.005006121888737234,0.051099093742033634
55,0.00451943931562971,0.04702474288271994
